batch_size,conv_filters,dense_units,dropout_rate,epochs,learning_rate,lstm_units,accuracy
32,32,128,0.3,10,0.001,64,0.8213890592257181
32,32,128,0.5,10,0.001,64,0.8096460501352946
32,64,128,0.3,10,0.001,64,0.825427770614624
32,64,128,0.5,10,0.001,64,0.8182977239290873
